LV Index,Agilent,Channel,Station,Sensor
0,1,101,1,L1 Current
1,1,102,1,L2 Current
2,1,103,2,L1 Current
3,1,104,2,L2 Current
4,1,105,3,L1 Current
5,1,106,3,L2 Current
6,1,107,4,L1 Current
7,1,108,4,L2 Current
8,1,109,5,L1 Current
9,1,110,5,L2 Current
10,1,111,6,L1 Current
11,1,112,6,L2 Current
12,1,113,7,L1 Current
13,1,114,7,L2 Current
14,1,115,8,L1 Current
15,1,116,8,L2 Current
16,1,201,9,L1 Current
17,1,202,9,L2 Current
18,1,203,10,L1 Current
19,1,204,10,L2 Current
20,1,205,11,L1 Current
21,1,206,11,L2 Current
22,1,207,12,L1 Current
23,1,208,12,L2 Current
24,1,209,13,L1 Current
25,1,210,13,L2 Current
26,1,211,14,L1 Current
27,1,212,14,L2 Current
28,1,213,15,L1 Current
29,1,214,15,L2 Current
30,1,215,16,L1 Current
31,1,216,16,L2 Current
32,1,301,17,L1 Current
33,1,302,17,L2 Current
34,1,303,18,L1 Current
35,1,304,18,L2 Current
36,1,305,19,L1 Current
37,1,306,19,L2 Current
38,1,307,20,L1 Current
39,1,308,20,L2 Current
40,1,309,21,L1 Current
41,1,310,21,L2 Current
42,1,311,22,L1 Current
43,1,312,22,L2 Current
44,1,313,23,L1 Current
45,1,314,23,L2 Current
46,1,315,24,L1 Current
47,1,316,24,L2 Current
48,2,101,25,L1 Current
49,2,102,25,L2 Current
50,2,103,26,L1 Current
51,2,104,26,L2 Current
52,2,105,27,L1 Current
53,2,106,27,L2 Current
54,2,107,28,L1 Current
55,2,108,28,L2 Current
56,2,109,29,L1 Current
57,2,110,29,L2 Current
58,2,111,30,L1 Current
59,2,112,30,L2 Current
60,2,113,31,L1 Current
61,2,114,31,L2 Current
62,2,115,32,L1 Current
63,2,116,32,L2 Current
64,2,201,5,Volts
65,2,202,6,Volts
66,2,203,7,Volts
67,2,204,8,Volts
68,2,205,9,Volts
69,2,206,10,Volts
70,2,207,11,Volts
71,2,208,12,Volts
72,2,209,13,Volts
73,2,210,14,Volts
74,2,211,21,Volts
75,2,212,24,Volts
76,2,213,27,Volts
77,2,214,30,Volts
78,2,215,15,Volts
79,2,216,16,Volts
80,3,201,1,Temperature
81,3,202,2,Temperature
82,3,203,3,Temperature
83,3,204,4,Temperature
84,3,205,5,Temperature
85,3,206,6,Temperature
86,3,207,7,Temperature
87,3,208,8,Temperature
88,3,209,9,Temperature
89,3,210,10,Temperature
90,3,211,11,Temperature
91,3,212,12,Temperature
92,3,213,13,Temperature
93,3,214,14,Temperature
94,3,215,15,Temperature
95,3,216,16,Temperature
96,3,217,17,Temperature
97,3,218,18,Temperature
98,3,219,19,Temperature
99,3,220,20,Temperature
100,3,301,21,Temperature
101,3,302,22,Temperature
102,3,303,23,Temperature
103,3,304,24,Temperature
104,3,305,25,Temperature
105,3,306,26,Temperature
106,3,307,27,Temperature
107,3,308,28,Temperature
108,3,309,29,Temperature
109,3,310,30,Temperature
110,3,311,31,Temperature
111,3,312,32,Temperature
112,3,313,1,Volts
113,3,314,2,Volts
114,3,315,3,Volts
115,3,316,4,Volts
116,4,101,33,L1 Current
117,4,102,33,L2 Current
118,4,103,34,L1 Current
119,4,104,34,L2 Current
120,4,105,35,L1 Current
121,4,106,35,L2 Current
122,4,107,36,L1 Current
123,4,108,36,L2 Current
124,4,109,37,L1 Current
125,4,110,37,L2 Current
126,4,111,38,L1 Current
127,4,112,38,L2 Current
128,4,113,39,L1 Current
129,4,114,39,L2 Current
130,4,115,40,L1 Current
131,4,116,40,L2 Current
132,4,201,41,L1 Current
133,4,202,41,L2 Current
134,4,203,42,L1 Current
135,4,204,42,L2 Current
136,4,205,43,L1 Current
137,4,206,43,L2 Current
138,4,207,44,L1 Current
139,4,208,44,L2 Current
140,4,209,45,L1 Current
141,4,210,45,L2 Current
142,4,211,46,L1 Current
143,4,212,46,L2 Current
144,4,213,47,L1 Current
145,4,214,47,L2 Current
146,4,215,48,L1 Current
147,4,216,48,L2 Current
148,4,301,49,L1 Current
149,4,302,49,L2 Current
150,4,303,50,L1 Current
151,4,304,50,L2 Current
152,4,305,51,L1 Current
153,4,306,51,L2 Current
154,4,307,52,L1 Current
155,4,308,52,L2 Current
156,4,309,53,L1 Current
157,4,310,53,L2 Current
158,4,311,54,L1 Current
159,4,312,54,L2 Current
160,4,313,55,L1 Current
161,4,314,55,L2 Current
162,4,315,56,L1 Current
163,4,316,56,L2 Current
164,6,101,33,Temperature
165,6,102,34,Temperature
166,6,103,35,Temperature
167,6,104,36,Temperature
168,6,105,37,Temperature
169,6,106,38,Temperature
170,6,107,39,Temperature
171,6,108,40,Temperature
172,6,109,41,Temperature
173,6,110,42,Temperature
174,6,111,43,Temperature
175,6,112,44,Temperature
176,6,113,45,Temperature
177,6,114,46,Temperature
178,6,115,47,Temperature
179,6,116,48,Temperature
180,6,117,49,Temperature
181,6,118,50,Temperature
182,6,119,51,Temperature
183,6,120,52,Temperature
184,6,201,53,Temperature
185,6,202,54,Temperature
186,6,203,55,Temperature
187,6,204,56,Temperature
188,6,205,33,Volts
189,6,206,36,Volts
190,6,207,39,Volts
191,6,208,42,Volts
192,6,209,45,Volts
193,6,210,45,Volts (208)
194,6,211,45,SW (208)
195,6,212,48,Volts
196,6,213,48,SW (208)
197,6,214,51,Volts (208)
198,6,215,51,SW (208)
199,6,216,54,Volts
200,6,301,17,Volts
201,6,302,18,Volts
202,6,303,19,Volts
203,6,304,20,Volts
204,6,305,51,Volts
205,6,306,48,Volts (208)
